url,published,rent,size,district,female_inhabitants,male_inhabitants,diverse_inhabitants,total_inhabitants
wg-zimmer-in-Berlin-Neukoelln.12083139.html,2025-08-16T00:00:00,650,23,Neukölln,2,0,0,3
wg-zimmer-in-Berlin-Prenzlauer-Berg.12104480.html,2025-08-16T00:00:00,750,30,Prenzlauer Berg,1,0,0,2
wg-zimmer-in-Berlin-Wedding.10173297.html,2025-08-14T00:00:00,750,14,Wedding,2,0,0,3
wg-zimmer-in-Berlin-Schoeneberg.12229826.html,2025-08-15T00:00:00,750,25,Schöneberg,1,1,0,6
wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.12143375.html,2025-07-10T00:00:00,800,15,Friedrichshain-Kreuzberg,1,0,0,3
wg-zimmer-in-Berlin-Neukoelln.2919565.html,2025-08-13T00:00:00,600,18,Neukölln,1,0,0,2
wg-zimmer-in-Berlin-Wedding.12215615.html,2025-08-12T00:00:00,700,20,Wedding,1,1,0,3
wg-zimmer-in-Berlin-Kreuzberg.11535578.html,2025-08-01T00:00:00,500,9,Kreuzberg,0,2,0,3
wg-zimmer-in-Berlin-Moabit.12197770.html,2025-07-28T00:00:00,728,25,Moabit,0,0,0,2
wg-zimmer-in-Berlin-Neukoelln.12189505.html,2025-07-25T00:00:00,650,20,Neukölln,0,1,0,2
wg-zimmer-in-Berlin-Wedding.12227715.html,2025-08-15T00:00:00,660,36,Wedding,2,0,0,3
wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.11866784.html,2025-08-10T00:00:00,480,21,Charlottenburg-Wilmersdorf,1,0,0,2
wg-zimmer-in-Berlin-Gesundbrunnen.12219414.html,2025-08-05T00:00:00,500,14,Gesundbrunnen,1,0,0,2
wg-zimmer-in-Berlin-Tempelhof-Schoeneberg.11949313.html,2025-07-15T00:00:00,720,25,Tempelhof-Schöneberg,1,0,0,2
wg-zimmer-in-Berlin-Kreuzberg.9411906.html,2025-08-16T00:00:00,700,18,Kreuzberg,0,1,0,2
wg-zimmer-in-Berlin-Steglitz.12200582.html,2025-08-09T00:00:00,300,11,Steglitz,3,1,0,5
wg-zimmer-in-Berlin-Gesundbrunnen.12210730.html,2025-08-03T00:00:00,200,20,Gesundbrunnen,2,0,0,3
wg-zimmer-in-Berlin-Wedding.12180844.html,2025-08-16T00:00:00,450,12,Wedding,2,0,0,3
wg-zimmer-in-Berlin-Prenzlauer-Berg.11410854.html,2025-08-06T00:00:00,1550,25,Prenzlauer Berg,0,0,0,2
wg-zimmer-in-Berlin-Prenzlauer-Berg.6293999.html,2025-08-16T00:00:00,550,16,Prenzlauer Berg,1,0,0,2
wg-zimmer-in-Berlin-Charlottenburg.11959949.html,2025-07-27T00:00:00,640,13,Charlottenburg,0,1,0,2
